Total path (R),LDLJ smoothness (R),Nmu peaks (R),Angular switches (R),Total ang. path (R),Participant Number,Case_Number,GRS_Total,QRS_Overal,Velocity corr.
55088.35450036674,-24.19942032911503,882,2174,270.57405335649423,1,1,59.25,48.5,0.3537522348505278
31002.125768028658,-24.024238190747933,542,1176,206.41064756310223,1,2,54.4,45.0,0.5056327481111567
54558.99403891598,-23.57070036623248,909,1832,206.458080167861,1,3,74.5,60.5,0.4284024015005382
98782.83743743876,-26.271526511767906,1992,5675,561.0149400695166,2,1,49.25,39.25,0.41033854027701594
76469.40762472927,-25.683849271248587,1483,4303,477.1784531081357,2,2,49.0,38.0,0.5393723437605725
69075.27364004639,-24.77275744619705,1083,2615,300.57069210958,2,3,59.5,47.0,0.5218025486077323
51518.57581370398,-24.341573512845606,864,2129,255.959873200248,3,1,74.0,62.0,0.3831936988041309
32018.8195990441,-23.274268181967948,529,1310,232.87341150615535,3,2,77.75,64.5,0.40571838500311014
46077.54313758379,-24.18815599260827,776,1390,234.3890576089854,3,3,77.25,63.0,0.36898669362770337
66049.83081924927,-24.988346814935237,1225,3172,426.2082743175478,4,1,46.0,37.25,0.43161146098919745
60532.29865534273,-25.43647595653453,927,2388,396.0935901818825,4,2,51.0,40.5,0.3540848844747276
103169.23675338792,-25.34266089558739,1570,3327,749.5042106972396,4,3,52.75,42.0,0.3131807165148645
64906.689193523984,-24.894755024981105,1105,3123,395.54993881870246,5,1,45.25,36.0,0.40545134187732546
52364.4335495624,-24.327093571552133,903,2444,422.55811722133694,5,2,58.5,47.25,0.5087250538188846
52294.28662002752,-24.231040673886174,1064,2117,382.1328633262192,5,3,55.25,43.0,0.4778071314492749
91834.82600652915,-26.369425297702147,1650,4311,623.9402824107182,6,1,44.25,35.0,0.45432982054773957
66882.17963592919,-25.400188811961048,1114,2976,583.3446324316203,6,2,55.5,44.25,0.41882740333017393
111720.62248708491,-25.68326137774365,1511,3510,754.2263957384359,6,3,53.75,41.5,0.22112224114521692
40485.19539606976,-24.0937932959473,718,1867,269.46670959456054,7,1,54.0,44.0,0.5148423208590368
66107.2703432937,-25.29378057176554,1174,3369,517.7730291412165,7,2,58.75,47.0,0.6214144150316161
49563.72534261909,-24.592355852029176,853,1681,278.3683370453549,7,3,52.75,41.25,0.5911683183433497
37887.22137375273,-23.307185540678464,566,1367,177.73800858525158,9,1,71.25,58.66666666666666,0.4153748627568281
34677.579145276075,-24.157755716870096,609,1587,304.7239945533804,9,2,76.0,62.66666666666666,0.6123942321751503
43649.61614538436,-23.89734985520822,646,1447,211.86954732467643,9,3,73.66666667,60.0,0.5237087283843096
36768.05814386833,-23.72428416649978,601,1545,208.36148570764698,10,1,73.0,60.75,0.5430822025966269
42064.75449605397,-24.769389358671027,561,1526,277.7942128469972,10,2,67.5,55.25,0.5498441015406366
42654.481663506245,-24.194688318766687,768,1486,268.6665140801863,10,3,76.25,62.25,0.5235901300992375
54316.33793509896,-24.10305416705237,991,2386,320.70386411745767,11,1,57.5,47.0,0.492131833158542
54560.30961357581,-24.45194707135762,911,2163,415.84298527902547,11,2,64.25,52.25,0.5238949534140351
67173.3214277055,-25.002745794204923,1177,2373,504.1928144785741,11,3,60.0,47.5,0.4343695440622169
29377.525890863802,-23.957113256997236,517,1254,168.50539570315863,12,1,71.75,59.75,0.5879621419479018
30896.443670202192,-24.015434306217955,527,1500,244.61760112423914,12,2,79.75,66.0,0.5897820343845422
44188.14120286339,-24.778429180644654,893,1935,305.1023593628626,12,3,70.25,56.75,0.3773214101815362
65015.50287024966,-24.603122558061255,1222,2672,448.99410606018745,13,1,54.25,44.5,0.5027906132763682
41288.97554654792,-24.442727406596674,739,1719,416.1658336244318,13,2,68.0,55.5,0.5709442686723437
71622.01533352716,-24.914463922141458,1418,2717,502.9664299241969,13,3,61.0,48.5,0.3759329823144417
36838.415726174964,-23.875610907503425,592,1533,182.4398085945035,14,1,75.5,62.75,0.4187629935763334
27754.357240777914,-23.54453006644009,419,1126,196.5833347084557,14,2,79.5,66.25,0.2921956182109231
45953.93806220935,-24.491804341704903,762,1644,309.6193480777408,14,3,82.5,67.75,0.16961210109309197
45478.966230967606,-24.884618615572123,700,1683,234.13149866498762,15,1,72.25,60.25,0.43662758019055814
36006.648395382785,-23.507059292223982,611,1416,279.0316737268163,15,2,75.25,61.25,0.49668413530330374
37712.3749245794,-23.251994663670665,694,1436,232.87780577456692,15,3,81.33333333,67.0,0.507489590986699
42931.133485486534,-24.719651248724155,811,2459,286.95730180339854,16,1,54.25,44.0,0.5631069109371963
43040.6892659944,-24.841960873594836,790,2241,368.2856030005895,16,2,52.25,41.25,0.6450965640387063
69347.1695591315,-25.21886972166298,1115,2776,441.1510543655806,16,3,72.25,58.75,0.41130118154908707
53775.13868710089,-23.451858045141883,776,1821,223.72736634927395,17,1,59.0,48.5,0.5383807043532945
41578.898647679496,-23.482399399528376,611,1382,273.5448595584553,17,2,64.25,52.25,0.6121689532207583
53800.67987893026,-23.19780731563986,744,1116,203.4949911236743,17,3,73.0,59.25,0.4449639738154428
49370.69099066207,-24.670722734439646,1133,2885,436.93650377450945,18,1,50.0,40.5,0.6233688563971709
59704.85248869376,-24.722170731984114,1172,2901,472.86520131734284,18,2,45.75,35.5,0.632138114214453
68784.13915536612,-24.82773108399825,1334,3074,632.0526082542565,18,3,54.75,43.25,0.4343485833944439
94440.67845044773,-25.496390200964505,1620,4496,468.90748301789347,19,1,44.0,35.5,0.4188506495588484
60102.119847194386,-24.37504625361365,932,2641,384.9104261514997,19,2,43.25,33.75,0.552171984863703
41798.43344036963,-24.061053124410165,665,1675,210.12390081557436,20,1,67.5,56.0,0.5874959662613152
31111.36344307758,-24.28483187394035,544,1262,364.1595163405493,20,2,77.0,63.5,0.5910658845360365
42053.88012650928,-23.56410750386226,726,1360,248.195549161318,20,3,74.66666667,60.0,0.4735994025619906
52261.5266984388,-24.042794712174274,846,2002,285.1433028213596,21,1,61.5,50.75,0.4040456727115589
28390.036087582648,-24.209509879273828,486,981,243.82337732738006,21,2,48.75,38.25,0.5638310475853884
54282.40522599824,-24.59724060270986,934,1919,386.39356817242697,21,3,68.25,55.5,0.42959481111384423
77900.83795397496,-25.46094680323171,1212,3545,426.1712854568322,22,1,55.0,45.75,0.5289131513793474
107892.65608607532,-26.177932748543952,1848,4977,561.0407247893307,22,2,43.5,33.75,0.5004760510273365
77863.53893173442,-25.251134020097695,1294,2654,593.4829120816041,22,3,56.0,44.25,0.3657001433767984
107533.92270154522,-25.31265055569205,1837,4891,557.3737276079278,23,1,44.75,35.75,0.42544505547788053
58959.29874657494,-25.80581241973803,1122,2562,462.9256636047913,23,2,63.0,51.5,0.3854463694879624
71038.72794758482,-24.78572446068723,1067,2216,435.2084584784909,23,3,58.0,46.0,0.3816762266651063
75023.51694967621,-24.81946236799179,1044,2926,319.59688096599984,24,1,44.0,35.5,0.3682269962404549
47130.3125299651,-25.409903811769244,937,2296,469.56312747442024,24,2,68.25,55.5,0.5048673009835701
70052.178728846,-25.192642099242097,1147,2415,465.94516902522787,24,3,63.66666667,51.333333333333336,0.22725243343344753
51113.51692269494,-23.616678294813976,725,1612,398.8228791887711,25,1,60.0,49.25,0.4120020492045001
39838.94734295561,-24.944114321532343,667,1471,236.43767578546417,25,2,63.75,51.75,0.5858223718179741
69503.91025242975,-24.562572368826665,1125,2267,498.94934918311947,25,3,56.25,44.0,0.31881537345615646
60299.37852374866,-24.39081360296465,922,2354,350.0641117508906,26,1,60.75,50.0,0.43274911461112947
50512.06438186993,-23.836339229996373,766,1911,321.84513195283967,26,2,63.0,50.75,0.42674736162101207
67108.5368227448,-24.408754048085104,851,1742,375.09651074636395,26,3,63.5,50.5,0.31064417752325457
51459.04445027959,-24.393731435474947,854,2050,282.01506216815415,27,1,55.25,45.0,0.45552393872343205
81499.3866566032,-25.381355115401497,1410,3653,619.8305838887027,27,2,47.25,37.75,0.4839312146334644
51499.66882525767,-24.319195012179712,855,1641,270.55295535058485,27,3,59.0,46.75,0.4777059356538988
36046.09073640065,-24.163048506501237,646,1502,193.33089324014333,28,1,68.75,57.25,0.556297250639174
29254.85628104197,-24.114391880817113,495,1271,220.40656558612403,28,2,72.25,59.75,0.5792670274301929
41897.23686359191,-23.410281710056793,596,1480,185.78789499855702,28,3,70.0,56.5,0.5173294704748344
72158.74088197695,-24.950831872698924,1230,3155,521.6035453940543,29,1,49.75,40.75,0.44662189058729956
56642.40355289344,-24.536452037113584,978,2424,437.6688884793255,29,2,62.0,50.25,0.5414805484712554
65672.23520567313,-24.281433214399875,1111,2247,467.7631812009843,29,3,61.25,49.5,0.5322379608024025
