Zeitstempel;Participant number (XXX);Expert number;1.2 Time and Motion;1.3 Instrument Handling;1.4 Knowledge of Instruments;1.5 Flow of Procedure;1.6 Knowledge of Specific Procedure;1.7 Overall Performance;1.8 Quality of final product;QRS Overal;2.2 Handles bony tissue and fracture edges appropriately;2.4 Uses retractors and positioning aids appropriately to maintain exposure and assist reduction;2.5 Reduces fracture using appropriate techniques;2.6 Holds reduction with appropriate provisional fixation;2.7 Overall quality of provisional fixation ;2.6 Drill proximal cortex with 3.5;2.9 Inserts 2.5 guide and drills dor cortex with 2.5;2.10 Measures with depth gauge;2.11 Places screw, engaging in far cortex plate;2.13 Appropriately secures plate to bone (holds plate to bone with clamps or K-wire);2.14 Places cortical screws using appropriate techniques;2.15 Places cortical screws in an appropriate sequence;OSATS Overall;3.1 <5 discrete attempts at reduction;3.2 Safely achieved appropriate reduction using instruments;3.3 Reduction clamps/ wires positioned to facilitate instrumentation without removal;3.4 Appropriate use of soft tissue protector/ drill sleeve;3.5 Appropriate drill size for lag screw technique;3.6 Measured screw length appropriately with depth gauge;3.7 Lag screw engages and compresses the far cortex;3.8 Lag screw perpendicular to fracture/ does not displace fracture;3.9 If not lag screw, achieves compression with plate;3.10 Safely/ effectively holds plate on bone with forceps/clamp/wire;3.11 Screws drilled using appropriate guide/ soft tissue protector;3.12 Plate appropriately secured to bone in reasonable position;3.13 all screws appropriate length;CFS Overall;Did you recognize the participant?;Participant Number;Case Type
2024/05/08 1:01:40 PM OESZ;101;2;9;9;9;9;9;9;9;63;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;10;radius
2024/05/08 1:06:06 PM OESZ;111;2;7;7;7;7;7;7;7;49;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;11;radius
2024/05/08 1:08:16 PM OESZ;121;2;7;7;7;7;7;7;7;49;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;12;radius
2024/05/08 1:14:56 PM OESZ;131;2;5;5;5;5;6;6;6;38;1;1;1;1;1;1;1;1;1;1;1;1;12;0;1;1;1;1;1;1;1; ;1;1;1;1;11;No;13;radius
2024/05/08 1:17:27 PM OESZ;141;2;10;10;10;10;10;10;10;70;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;Yes;14;radius
2024/05/08 1:20:56 PM OESZ;151;2;8;8;8;8;8;8;8;56;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;15;radius
2024/05/08 1:22:47 PM OESZ;161;2;8;8;8;8;8;8;8;56;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;16;radius
2024/05/08 1:25:20 PM OESZ;171;2;6;6;6;6;6;6;6;42;1;1;1;1;1;1;1;1;1;1;1;1;12;0;1;0;0;1;0;1;1; ;1;0;1;1;7;No;17;radius
2024/05/08 12:19:35 PM OESZ;181;2;6;7;7;7;7;7;7;48;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;18;radius
2024/05/08 12:22:15 PM OESZ;191;2;5;5;5;5;5;5;5;35;1;1;1;1;1;1;1;1;1;1;1;1;12;0;0;0;0;0;0;0;0; ;0;0;0;0;0;No;19;radius
2024/05/08 12:26:03 PM OESZ;201;2;7;7;7;6;7;7;7;48;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;20;radius
2024/05/08 12:28:44 PM OESZ;211;2;7;7;7;7;7;7;7;49;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;21;radius
2024/05/08 12:31:03 PM OESZ;221;2;8;8;8;8;8;8;8;56;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;22;radius
2024/05/08 12:38:06 PM OESZ;231;2;5;5;5;5;5;5;5;35;1;1;1;1;1;1;1;1;1;1;1;1;12;0;1;0;1;0;1;1;1; ;0;1;1;1;8;No;23;radius
